frame,HEAD_x,HEAD_y,L_SHOULDER_x,L_SHOULDER_y,R_SHOULDER_x,R_SHOULDER_y,L_ELBOW_x,L_ELBOW_y,R_ELBOW_x,R_ELBOW_y,L_WRIST_x,L_WRIST_y,R_WRIST_x,R_WRIST_y,L_HIP_x,L_HIP_y,R_HIP_x,R_HIP_y,L_KNEE_x,L_KNEE_y,R_KNEE_x,R_KNEE_y,L_ANKLE_x,L_ANKLE_y,R_ANKLE_x,R_ANKLE_y,L_HEEL_x,L_HEEL_y,R_HEEL_x,R_HEEL_y,L_FOOT_INDEX_x,L_FOOT_INDEX_y,R_FOOT_INDEX_x,R_FOOT_INDEX_y,NECK_x,NECK_y
0,604,243,685,258,566,269,739,310,551,341,763,352,578,397,673,390,614,396,687,496,602,504,703,616,611,619,702,631,621,635,698,654,592,657,626,264
1,605,243,686,258,566,269,738,309,552,342,763,351,578,397,673,390,612,396,687,497,602,509,702,614,611,618,702,627,621,635,698,654,593,655,626,264
2,605,244,686,258,567,269,737,309,552,342,754,355,578,396,673,391,612,396,687,499,603,511,702,615,611,618,701,629,620,635,698,654,593,656,627,264
3,606,244,688,259,570,269,735,309,554,341,747,358,579,395,673,393,612,397,688,500,603,512,702,617,611,619,701,631,620,637,698,654,592,656,629,264
4,607,246,690,259,571,269,734,315,555,341,742,367,581,395,674,394,613,397,688,503,604,513,701,618,610,621,699,632,619,640,698,654,591,656,631,264
5,609,249,691,260,572,269,733,324,557,341,733,388,582,395,676,393,614,397,688,503,604,512,700,619,608,623,697,634,617,642,697,655,588,656,631,264
6,610,251,692,261,572,268,733,336,558,340,723,406,583,395,678,390,615,396,687,502,604,511,697,620,605,623,693,636,614,643,695,655,585,655,632,265
7,611,252,692,264,573,266,732,341,558,339,718,413,584,395,679,390,616,394,687,500,605,511,695,621,603,624,692,638,612,645,692,655,578,656,633,266
8,612,253,693,266,575,266,728,345,558,339,718,415,585,394,679,392,616,394,688,501,604,510,692,621,600,626,691,638,611,648,691,655,573,658,634,267
9,614,256,693,267,576,266,723,350,559,338,720,423,586,392,679,393,617,395,689,505,604,509,690,622,597,629,688,638,611,651,690,657,569,658,635,267
10,615,257,694,271,577,266,720,354,561,336,721,435,585,391,680,393,618,395,688,507,604,510,688,623,596,630,684,638,609,652,687,659,569,658,635,269
11,614,256,694,275,577,265,718,359,562,336,721,442,586,391,680,392,618,395,686,503,603,510,684,624,595,629,680,640,606,652,684,660,559,659,636,270
12,613,255,693,279,577,264,716,362,562,336,723,445,586,389,679,392,617,394,684,501,599,509,682,626,590,629,676,645,602,653,685,660,551,659,636,272
13,613,256,693,282,577,264,714,365,561,335,725,445,585,387,679,393,617,395,681,504,596,507,679,628,584,629,672,645,595,653,681,660,552,658,635,273
14,605,257,687,282,573,263,708,365,556,333,707,444,572,382,670,394,609,394,675,510,585,505,669,629,569,630,668,644,579,652,661,662,541,659,630,273
15,597,251,677,280,565,264,702,364,545,331,673,439,558,373,662,398,600,395,656,511,569,501,662,629,559,629,664,644,568,650,645,663,530,660,621,272
16,592,246,670,279,559,264,696,363,533,324,646,408,538,355,650,405,591,401,640,513,559,507,657,628,553,628,664,644,564,647,634,663,521,659,616,272
17,591,230,670,281,556,264,692,365,522,324,627,372,547,350,646,408,587,405,617,513,556,509,658,628,556,626,667,645,566,645,626,663,524,658,614,273
18,593,220,672,285,559,264,680,367,519,326,608,337,551,329,644,415,587,411,603,511,554,514,659,629,559,624,669,645,569,642,625,665,528,657,616,275
19,599,214,673,284,560,262,675,365,514,324,605,322,548,311,641,420,585,415,606,520,553,517,659,628,560,623,670,643,570,637,626,665,531,655,617,274
20,605,205,673,275,563,259,671,342,505,304,607,285,545,273,641,419,583,415,607,521,553,519,660,626,561,621,675,641,571,633,629,664,534,654,618,267
21,614,197,673,254,572,252,666,297,503,273,615,232,545,232,637,416,581,412,612,523,555,518,661,624,562,617,680,636,572,628,632,662,538,651,623,254
