frame,t_sec,x,y,detected
0,0.0,483,402,1
1,0.033,517,395,0
2,0.067,548,389,0
3,0.1,576,383,1
4,0.133,613,374,1
5,0.167,636,369,0
6,0.2,636,364,1
7,0.233,633,374,0
8,0.267,631,390,0
9,0.3,627,413,1
10,0.333,621,439,1
11,0.367,615,458,1
12,0.4,613,463,1
13,0.433,611,470,1
14,0.467,612,472,1
15,0.5,615,476,0
16,0.533,620,482,1
17,0.567,625,490,1
18,0.6,630,498,1
19,0.633,634,504,1
20,0.667,636,509,1
21,0.7,637,515,1
22,0.733,637,517,1
23,0.767,638,505,1
24,0.8,637,494,1
25,0.833,636,490,1
26,0.867,635,495,1
27,0.9,632,510,1
28,0.933,629,523,1
29,0.967,630,523,1
30,1.0,629,524,1
31,1.033,627,530,1
32,1.067,624,537,1
33,1.1,620,545,1
34,1.133,619,549,1
35,1.167,623,549,1
36,1.2,627,549,0
37,1.233,630,549,0
38,1.267,633,549,1
39,1.3,636,549,0
40,1.333,637,547,1
41,1.367,642,549,0
42,1.4,650,553,0
43,1.433,660,559,1
44,1.467,669,565,1
45,1.5,672,571,1
46,1.533,676,568,1
47,1.567,697,555,1
48,1.6,727,537,1
49,1.633,756,518,1
50,1.667,778,505,1
51,1.7,783,504,0
52,1.733,787,501,0
53,1.767,784,507,0
54,1.8,767,527,0
55,1.833,742,555,1
56,1.867,716,584,1
57,1.9,699,603,1
58,1.933,701,603,0
59,1.967,704,602,1
60,2.0,709,602,0
61,2.033,716,604,0
62,2.067,717,603,0
63,2.1,707,594,0
64,2.133,678,572,1
65,2.167,632,542,0
66,2.2,577,509,1
67,2.233,536,486,1
68,2.267,511,474,1
69,2.3,506,474,1
70,2.333,506,472,1
71,2.367,510,456,0
72,2.4,492,436,1
73,2.433,469,419,1
74,2.467,436,411,1
75,2.5,406,418,0
76,2.533,385,427,1
77,2.567,381,426,0
78,2.6,375,428,1
79,2.633,376,431,1
80,2.667,371,439,1
81,2.7,368,447,1
82,2.733,365,455,1
83,2.767,365,463,0
84,2.8,361,470,1
85,2.833,355,476,1
86,2.867,350,480,1
87,2.9,348,479,0
88,2.933,349,479,0
89,2.967,357,481,0
90,3.0,354,478,0
91,3.033,340,468,1
92,3.067,320,454,1
93,3.1,302,441,1
94,3.133,292,433,0
95,3.167,296,434,0
96,3.2,300,436,0
97,3.233,302,436,1
98,3.267,304,436,1
99,3.3,306,436,1
100,3.333,308,436,0
101,3.367,312,434,0
102,3.4,311,434,0
103,3.433,305,440,0
104,3.467,296,451,1
105,3.5,285,468,1
106,3.533,278,485,1
107,3.567,277,493,1
108,3.6,274,494,1
109,3.633,270,488,1
110,3.667,265,478,1
111,3.7,262,471,1
112,3.733,259,464,1
113,3.767,258,458,1
114,3.8,257,453,1
115,3.833,257,450,1
116,3.867,258,448,1
117,3.9,261,450,1
118,3.933,263,450,1
119,3.967,265,450,1
120,4.0,267,450,1
121,4.033,269,450,0
122,4.067,271,450,0
123,4.1,270,449,0
124,4.133,274,450,1
125,4.167,287,452,0
126,4.2,303,455,1
127,4.233,319,458,1
128,4.267,328,461,1
129,4.3,332,458,1
130,4.333,337,452,0
131,4.367,344,445,1
132,4.4,350,439,0
133,4.433,354,437,0
134,4.467,353,440,0
135,4.5,357,438,0
136,4.533,365,432,1
137,4.567,375,426,1
138,4.6,383,417,1
139,4.633,391,418,1
140,4.667,396,427,1
141,4.7,402,437,1
142,4.733,409,445,1
143,4.767,415,448,1
144,4.8,418,442,1
145,4.833,420,437,1
146,4.867,420,434,1
147,4.9,419,432,1
148,4.933,417,430,0
149,4.967,417,429,1
150,5.0,419,428,0
151,5.033,420,426,0
152,5.067,421,422,0
153,5.1,421,415,1
154,5.133,420,407,1
155,5.167,419,401,1
156,5.2,420,401,1
157,5.233,421,401,1
158,5.267,423,403,1
159,5.3,425,407,1
160,5.333,427,411,1
161,5.367,429,417,1
162,5.4,431,426,0
163,5.433,433,434,1
