frame,t_sec,x,y,detected
0,0.000,975,634,1
1,0.100,973,635,1
2,0.200,969,638,1
3,0.300,967,645,1
4,0.400,964,652,1
5,0.500,965,654,1
6,0.600,987,653,1
7,0.700,968,651,1
8,0.800,960,646,1
9,0.900,957,641,1
10,1.000,949,632,1
11,1.100,950,626,1
12,1.200,964,613,1
13,1.300,933,609,1
14,1.400,917,608,1
15,1.500,894,602,1
16,1.600,881,590,1
17,1.700,821,568,1
18,1.800,755,550,1
19,1.900,699,537,1
20,2.000,627,521,1
21,2.100,567,504,1
22,2.200,522,489,1
23,2.300,505,475,1
24,2.400,474,460,1
25,2.500,425,432,1
26,2.600,413,426,1
27,2.700,422,420,1
28,2.800,425,418,1
29,2.900,440,424,1
30,3.000,451,428,1
31,3.100,455,427,1
32,3.200,447,414,1
33,3.300,448,410,1
34,3.400,450,413,1
35,3.500,464,421,1
36,3.600,471,424,1
37,3.700,474,425,1
38,3.800,476,430,1
39,3.900,545,423,1
40,4.000,545,426,1
41,4.100,577,430,1
42,4.200,571,425,1
43,4.300,570,425,1
44,4.400,569,428,1
45,4.500,572,426,1
46,4.600,569,426,1
47,4.700,571,428,1
48,4.800,562,442,1
49,4.900,562,438,1
50,5.000,567,430,1
51,5.100,568,424,1
52,5.200,572,424,1
53,5.300,572,424,1
54,5.400,570,424,1
55,5.500,575,424,1
56,5.600,570,432,1
57,5.700,572,430,1
58,5.800,583,425,1
59,5.900,582,426,1
60,6.000,586,430,1
61,6.100,634,427,1
62,6.200,630,437,1
63,6.300,627,433,1
64,6.400,615,440,1
65,6.500,598,449,1
66,6.600,587,454,1
67,6.700,578,460,1
68,6.800,573,464,1
69,6.900,638,445,1
70,7.000,656,440,1
71,7.100,676,432,1
72,7.200,696,431,1
73,7.300,708,426,1
74,7.400,704,425,1
75,7.500,724,422,1
76,7.600,724,421,1
77,7.700,737,421,1
78,7.800,735,420,1
79,7.900,727,417,1
80,8.000,721,414,1
81,8.100,775,395,1
82,8.200,772,394,1
83,8.300,764,393,1
84,8.400,752,392,1
85,8.500,739,392,1
86,8.600,723,394,1
87,8.700,699,394,1
88,8.800,660,399,1
89,8.900,612,391,1
90,9.000,529,359,1
91,9.100,460,341,1
92,9.200,408,344,1
93,9.300,376,354,1
94,9.400,356,360,1
95,9.500,341,370,1
96,9.600,318,382,1
97,9.700,306,393,1
98,9.800,295,405,1
99,9.900,286,420,1
100,10.000,284,435,1
101,10.100,290,440,1
102,10.200,295,443,1
103,10.300,301,448,1
104,10.400,298,449,1
105,10.500,307,445,1
106,10.600,307,442,1
107,10.700,311,440,1
108,10.800,317,437,1
109,10.900,322,433,1
110,11.000,322,429,1
111,11.100,327,426,1
112,11.200,318,423,1
113,11.300,316,418,1
114,11.400,314,413,1
115,11.500,313,405,1
116,11.600,313,398,1
117,11.700,311,394,1
118,11.800,310,388,1
119,11.900,308,387,1
120,12.000,312,380,1
121,12.100,318,371,1
122,12.200,324,364,1
123,12.300,331,354,1
124,12.400,320,345,1
