frame,HEAD_x,HEAD_y,L_SHOULDER_x,L_SHOULDER_y,R_SHOULDER_x,R_SHOULDER_y,L_ELBOW_x,L_ELBOW_y,R_ELBOW_x,R_ELBOW_y,L_WRIST_x,L_WRIST_y,R_WRIST_x,R_WRIST_y,L_HIP_x,L_HIP_y,R_HIP_x,R_HIP_y,L_KNEE_x,L_KNEE_y,R_KNEE_x,R_KNEE_y,L_ANKLE_x,L_ANKLE_y,R_ANKLE_x,R_ANKLE_y,L_HEEL_x,L_HEEL_y,R_HEEL_x,R_HEEL_y,L_FOOT_INDEX_x,L_FOOT_INDEX_y,R_FOOT_INDEX_x,R_FOOT_INDEX_y,NECK_x,NECK_y
0,560,287,624,297,576,312,653,355,562,356,610,398,534,383,652,401,620,408,641,470,605,471,677,552,613,555,688,567,630,573,648,582,582,579,600,305
1,559,291,620,307,576,313,646,363,563,354,606,397,532,378,653,401,620,405,650,469,605,464,681,552,616,554,690,565,627,569,653,581,583,574,598,310
2,559,293,618,308,574,313,644,365,563,359,607,398,529,380,653,401,620,405,654,470,602,467,681,550,620,546,691,562,630,561,658,581,594,571,596,310
3,560,296,618,310,569,314,644,366,563,364,610,405,527,388,653,401,620,404,647,472,600,469,678,551,626,543,690,562,638,556,659,582,605,571,593,312
4,561,303,621,318,564,321,642,374,562,372,612,419,528,406,654,398,620,403,636,472,598,471,676,550,633,538,687,561,648,550,661,583,616,571,593,319
5,561,313,621,327,561,331,637,387,558,389,612,434,529,435,655,399,619,404,627,474,597,472,668,548,640,538,681,556,654,547,652,581,626,572,591,329
6,559,328,620,342,560,347,629,407,556,405,610,456,539,465,654,405,617,406,618,477,602,480,659,547,644,543,672,555,655,549,643,579,630,572,590,344
7,558,346,618,360,556,368,626,422,556,427,616,476,555,484,651,421,614,426,613,480,607,497,645,549,593,507,656,559,594,506,626,581,579,518,588,364
8,557,356,616,369,552,382,629,431,557,440,622,486,563,493,650,432,612,436,612,486,596,496,630,554,618,519,638,566,626,521,613,585,619,536,584,376
9,555,358,616,373,547,388,634,432,555,444,631,489,560,494,648,440,607,446,610,487,593,508,626,558,641,528,633,571,652,529,606,587,645,553,582,380
10,555,359,615,373,543,386,637,432,550,444,641,486,553,500,642,438,601,445,616,488,607,508,635,551,639,563,642,555,649,576,622,576,636,599,580,381
11,555,358,615,372,541,384,637,427,543,442,651,476,545,498,633,437,595,447,623,505,613,508,641,528,633,566,643,526,640,576,632,562,625,593,578,380
12,572,352,625,371,544,379,648,424,538,431,658,471,538,484,635,437,596,444,621,502,590,516,626,550,603,550,631,557,608,548,612,569,592,565,586,375
13,583,345,631,367,545,372,650,423,535,419,635,456,531,468,637,436,597,440,612,494,578,514,610,566,555,540,613,579,611,545,595,584,559,565,588,370
14,581,328,630,362,547,358,637,420,531,400,597,425,527,431,627,430,589,426,605,493,552,511,598,571,512,545,596,586,518,551,586,592,511,578,588,360
15,584,309,627,356,547,347,620,406,522,387,580,375,531,371,613,429,576,427,605,499,539,506,594,575,478,569,593,588,465,581,585,597,481,599,588,352
16,590,298,620,342,548,340,625,366,520,365,592,327,545,320,608,432,568,429,607,505,535,505,599,577,478,577,600,591,464,589,589,597,487,601,585,341
17,600,292,620,324,554,323,632,335,523,331,609,289,555,288,605,432,568,428,609,505,535,505,603,579,487,575,603,591,478,588,597,596,496,600,588,323
18,602,269,629,312,565,302,635,303,527,296,611,248,565,257,607,423,569,418,610,501,534,499,610,574,494,573,610,585,491,586,603,595,508,597,598,308
19,607,241,638,294,573,278,642,270,537,260,619,217,577,225,609,405,569,400,609,491,536,487,613,573,505,569,614,585,499,580,602,595,512,595,605,286
20,615,218,644,273,580,256,647,237,551,231,627,191,590,197,612,386,571,382,609,476,546,470,613,562,518,553,618,572,518,563,604,595,517,589,612,265
21,620,205,649,254,584,239,654,221,560,212,632,171,596,182,615,371,574,364,609,457,552,454,613,544,531,533,619,553,538,539,606,584,520,573,617,247
22,625,194,654,242,588,227,657,207,563,202,635,157,600,170,615,357,576,351,610,444,556,438,614,527,553,518,617,535,559,527,606,567,542,560,622,235
23,627,184,657,233,591,219,660,196,563,196,637,146,602,162,617,347,576,342,612,434,568,431,615,521,568,512,614,529,573,524,603,555,564,553,624,226
24,629,176,658,228,592,212,664,186,564,190,641,139,602,155,621,339,580,337,613,424,577,423,614,512,576,506,611,520,582,516,600,549,575,549,626,220
25,632,172,659,224,594,206,666,186,567,185,642,133,601,146,626,335,586,333,614,419,582,420,612,504,583,500,611,513,589,510,600,544,578,542,628,216
26,633,172,662,223,597,206,667,185,571,179,642,129,600,135,630,335,590,332,617,418,586,419,613,505,588,501,612,513,592,511,602,543,579,539,630,216
27,633,174,664,224,600,211,668,184,582,171,643,130,599,124,633,338,594,334,622,422,589,422,615,507,590,504,613,516,593,514,607,543,582,539,632,217
28,633,177,665,225,602,216,669,187,592,170,645,140,596,119,635,342,595,337,625,427,592,425,618,509,589,507,614,518,593,516,612,545,587,544,634,221
29,631,180,665,229,602,220,667,190,597,172,643,146,594,125,636,345,596,342,626,430,593,428,621,511,589,509,614,519,593,518,617,546,586,546,634,225
30,631,185,665,234,602,224,666,199,597,176,641,153,594,131,638,348,599,346,628,432,593,430,623,514,589,510,616,522,592,520,621,548,587,550,634,230
31,632,189,666,238,603,226,667,205,599,185,642,158,596,138,640,352,602,349,631,437,594,434,625,516,587,518,619,526,591,528,624,552,587,558,635,232
32,632,199,667,244,604,235,668,207,599,190,644,160,596,143,642,362,602,359,633,445,596,442,627,526,584,527,621,537,590,537,627,563,587,568,635,240
33,632,211,667,256,603,247,671,221,601,192,645,173,595,149,643,372,602,370,634,456,596,455,628,539,583,538,623,549,589,548,628,575,586,578,635,252
34,631,225,666,270,603,260,674,238,601,205,645,188,595,157,644,385,603,382,636,470,596,467,630,554,584,549,627,564,588,560,630,589,586,588,635,265
35,632,237,667,282,604,272,673,245,601,219,644,197,596,169,645,396,605,393,637,480,595,477,633,565,584,559,629,574,586,570,632,601,588,599,636,277
36,632,245,667,291,604,282,674,254,603,231,645,207,597,183,646,406,605,403,637,490,596,489,635,573,583,571,631,582,584,581,633,612,588,611,635,287
37,633,256,667,302,603,294,675,266,602,242,647,220,598,193,647,419,604,416,638,502,597,501,636,585,582,580,633,596,581,590,633,623,589,620,636,299
38,633,268,667,315,603,305,677,281,600,253,648,236,600,205,646,428,604,426,641,514,597,512,636,597,582,591,633,610,580,600,634,630,590,629,636,311
39,635,281,667,325,605,315,679,302,596,271,649,257,602,225,646,438,605,435,644,522,596,520,636,601,582,600,633,613,579,601,638,630,592,632,637,321
40,637,287,669,331,607,322,682,325,588,289,657,289,604,250,647,447,608,443,648,526,597,524,635,599,582,600,629,610,580,600,639,624,592,628,638,327
41,641,297,669,334,608,324,694,353,577,311,666,322,598,277,648,450,611,448,656,525,599,527,635,595,584,597,627,605,580,600,641,620,593,623,639,330
42,642,294,673,336,608,326,703,374,568,337,685,352,578,308,650,447,613,446,665,518,600,523,637,590,586,593,628,601,582,603,645,617,595,620,641,332
43,642,288,679,335,607,324,707,379,569,352,700,369,563,339,654,442,614,441,672,513,601,516,643,588,588,589,635,596,584,601,647,616,596,619,644,330
44,643,283,683,330,609,320,706,365,571,350,715,382,558,358,657,438,617,436,677,512,601,513,651,584,588,588,643,590,586,598,654,613,596,616,646,325
45,646,280,686,325,611,316,706,360,580,345,724,387,566,369,661,435,620,435,682,507,601,511,662,578,588,586,654,586,586,596,666,607,594,612,649,321
46,649,278,688,323,614,314,709,362,586,346,732,396,572,380,666,427,623,428,686,501,602,505,674,569,587,584,666,581,585,595,681,599,594,606,651,320
47,650,273,691,321,616,315,713,363,591,350,737,403,572,389,670,425,627,424,686,499,605,500,684,565,586,580,681,576,585,592,689,591,593,603,654,318
48,650,268,694,317,618,313,716,361,595,351,738,404,572,393,671,424,630,422,685,499,606,498,694,562,585,577,695,571,584,589,687,585,589,600,657,315
49,652,266,695,312,622,311,717,355,601,350,739,399,572,393,672,421,632,421,685,496,607,497,702,559,582,575,705,569,580,588,690,582,582,596,659,312
50,655,266,697,308,624,309,716,353,609,348,740,390,579,389,674,419,634,418,687,494,606,495,703,557,578,572,708,567,577,585,690,581,573,591,661,310
51,656,265,697,307,627,308,716,351,615,347,742,383,589,384,678,418,637,415,686,494,606,493,700,556,576,568,704,567,574,581,687,580,568,588,662,309
52,656,264,698,305,627,308,718,347,618,346,744,380,593,382,679,417,638,414,685,493,607,491,697,557,575,563,700,568,572,577,684,579,561,582,663,307
53,656,264,699,303,628,305,720,343,617,345,747,379,593,383,679,415,638,414,684,492,609,487,694,557,575,561,698,568,573,578,682,578,556,571,664,304
54,656,262,699,299,629,301,720,340,617,345,747,378,592,382,680,413,638,411,683,490,609,484,692,557,576,560,696,567,577,579,681,578,553,566,664,301
55,655,258,700,295,629,298,720,338,617,344,746,377,592,382,681,409,639,406,683,488,608,480,691,558,580,557,693,568,584,576,676,579,555,566,664,298
56,655,254,700,293,628,296,721,337,618,342,748,377,593,381,680,404,639,402,679,484,608,475,688,558,588,554,692,569,595,573,668,579,558,568,664,295
57,656,253,699,291,628,294,722,336,617,342,748,378,592,381,679,402,637,400,674,479,609,474,683,557,598,553,689,568,606,571,662,578,560,571,664,293
58,655,253,699,291,627,294,722,335,615,343,746,378,591,382,679,402,637,399,670,479,609,474,677,556,599,554,683,567,608,571,657,579,561,572,664,293
59,651,253,698,291,626,294,721,334,614,343,744,378,588,381,677,400,637,398,667,479,607,473,674,557,597,554,678,567,607,571,655,579,560,572,662,293
60,647,253,695,291,623,294,719,334,612,343,743,379,584,382,674,399,633,397,666,480,603,473,673,558,596,554,676,568,605,572,653,580,560,572,659,293
61,645,251,692,291,619,294,716,335,609,344,742,379,582,383,670,400,629,398,664,481,600,473,670,558,594,555,675,568,603,572,650,580,557,572,657,293
62,643,251,690,290,617,293,713,335,606,344,739,378,581,383,667,401,626,398,662,481,598,474,668,557,595,554,674,568,603,571,646,579,555,574,654,292
63,642,251,688,289,616,293,711,334,604,343,737,378,579,383,665,401,625,397,659,481,597,473,667,557,594,554,672,569,602,571,645,579,553,574,652,292
64,640,252,686,289,614,294,711,334,603,343,736,379,576,383,664,399,624,397,657,480,595,472,665,557,591,554,669,569,601,571,645,580,553,573,650,292
65,638,252,685,289,612,294,709,333,601,344,734,379,575,382,663,399,622,398,656,480,593,472,663,558,588,555,669,568,600,572,644,580,551,573,649,292
66,637,251,683,288,610,293,708,333,599,344,732,379,575,382,662,400,620,398,654,479,593,472,662,558,586,555,669,569,598,572,643,580,549,573,648,292
67,635,252,683,289,610,294,706,334,599,344,731,379,574,383,660,400,619,398,653,479,592,473,662,558,586,555,667,570,595,572,641,580,547,574,647,292
68,635,252,681,289,609,294,706,334,598,344,729,379,572,384,659,400,619,398,652,480,591,473,661,558,585,555,665,570,594,572,641,580,546,574,646,292
